nom	id	theme	v25	v2026
<Editeur de code>.SupprimeTout	1410090422	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Éditeur de diagrammes>.DébutModification	1410088875	gestion des diagrammes (syntaxe préfixée)	0	1
<Éditeur de diagrammes>.FinModification	1410088876	gestion des diagrammes (syntaxe préfixée)	0	1
<Éditeur de diagrammes>.InfoXY	1410088737	gestion des diagrammes (syntaxe préfixée)	0	1
<Éditeur de diagrammes>.Sauve	1410088687	gestion des diagrammes (syntaxe préfixée)	0	1
<Éditeur de diagrammes>.SelectMoins	1410088688	gestion des diagrammes (syntaxe préfixée)	0	1
<Éditeur de diagrammes>.SelectPlus	1410088689	gestion des diagrammes (syntaxe préfixée)	0	1
<Editeur HTML>.DepuisEmail	1000026296	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.ExécuteJS	1000026297	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.FormateSelection	1000026298	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.Insère	1000026299	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.InsèreTableau	1000026300	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.Recherche	1000026301	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.Récupère	1000026302	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.RécupèreDocument	1000026304	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.RécupèreSélection	1000026305	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.Remplace	1000026306	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.Sélectionne	1000026307	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.VersEmail	1000026308	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Editeur HTML>.VersPDF	1000026309	gestion du champ Editeur HTML (syntaxe préfixée)	0	1
<Éditeur d'images>.Crée	1000023430	gestion du champ Editeur d'images et des variables WDPic (syntaxe préfixée)	1	1
<Éditeur d'images>.Ferme	1000023431	gestion du champ Editeur d'images et des variables WDPic (syntaxe préfixée)	1	1
<Éditeur d'images>.Ouvre	1000023432	gestion du champ Editeur d'images et des variables WDPic (syntaxe préfixée)	1	1
<Éditeur d'images>.Sauve	1000023433	gestion du champ Editeur d'images et des variables WDPic (syntaxe préfixée)	1	1
<Elément>.DemandeMiseAJourUI	1410088728	gestion des fenêtres (syntaxe préfixée)	0	1
<Elément>.ExécuteMiseAJourUI	1410088729	gestion des fenêtres (syntaxe préfixée)	0	1
<EmailSessionIMAP>.RécupèreTout	1000022308	gestion des emails (syntaxe préfixée)	1	1
<Etat>.Imprime	1000024554	impression (syntaxe préfixée)	1	1
<Etat>.InitEtatVerso	1410090633	impression (syntaxe préfixée)	0	1
<Etat>.InitRequête	1000025143	impression (syntaxe préfixée)	0	1
<Etat>.InitRequêteConnexion	1000025144	impression (syntaxe préfixée)	0	1
<Etat>.InitSousEtat	1000025145	impression (syntaxe préfixée)	0	1
<Fenêtre>.ActiveGFI	1410088766	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.AgencementEnCours	1410088841	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.ChangeAgencement	1410088842	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.DepuisFichier	1000021387	liaison (syntaxe préfixée)	0	1
<Fenêtre>.DepuisSource	1000021388	liaison (syntaxe préfixée)	1	1
<Fenêtre>.EdActive	1000022294	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdCharge	1000022292	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdCréeNote	1000022301	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
