nom	id	theme	description_v25
ceRepCrée	3023019	accès aux Terminaux Mobiles (Pocket PC)	Crée un répertoire sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRepSupprime	3023032	accès aux Terminaux Mobiles (Pocket PC)	Supprime un répertoire présent sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
ceSupprimeFichier	3023037	accès aux Terminaux Mobiles (Pocket PC)	Supprime un fichier présent sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
ceSupprimeRaccourci	3023033	accès aux Terminaux Mobiles (Pocket PC)	Supprime un raccourci précédemment créé avec la fonction ceCréeRaccourci.
ceSysRep	3023031	accès aux Terminaux Mobiles (Pocket PC)	Renvoie le chemin d'un répertoire du système du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceTailleFichier	3023038	accès aux Terminaux Mobiles (Pocket PC)	Renvoie la taille (en octets) d'un fichier présent sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
ceTypeProcesseur	3023040	accès aux Terminaux Mobiles (Pocket PC)	Renvoie le type de processeur du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceVersionWindows	3023042	accès aux Terminaux Mobiles (Pocket PC)	Renvoie des informations sur la version de Windows utilisée sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
ceXRes	3023041	accès aux Terminaux Mobiles (Pocket PC)	Renvoie la résolution horizontale de l'écran du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceYRes	3023044	accès aux Terminaux Mobiles (Pocket PC)	Renvoie la résolution verticale de l'écran du Terminal Mobile (Pocket PC) connecté au poste en cours.
ChaîneVersPalm	3059009	Palm Pilot	Transmet une chaîne de caractères vers la base de données "Bloc-Notes" du PALM.
ClavierListe	3071001	gestion du clavier du Terminal Mobile (Pocket PC)	Renvoie la liste des types de claviers disponibles sur le Terminal Mobile (Pocket PC).
ClavierMode	3071005	gestion du clavier du Terminal Mobile (Pocket PC)	Permet de :connaître le clavier en cours d'utilisation.changer le clavier en cours d'utilisation.
EnModePocket	3013024	diverses WINDEV	Identifie si le code est exécuté :depuis une application WINDEV Mobile.depuis une application WINDEV standard, depuis un site WEBDEV ou depuis une app
FenBoutonSystème	3038024	gestion des fenêtres	Modifie le type du bouton système affiché dans la barre de titre d'une fenêtre.
FichierVersPalm	3059002	Palm Pilot	Transmet l'enregistrement en cours d'un fichier de données HyperFileSQL sous forme de mémo vers la base de données Bloc-Notes du Palm Pilot.
fRepCrée_55	3036005	gestion des fichiers externes	La fonction fRepCrée_55 est conservée uniquement pour compatibilité.
fRepDroit	3036003	gestion des fichiers externes	La fonction fRepDroit est conservée uniquement pour compatibilité.
GadgetAfficheFlyout	1000017218	gestion des gadgets Vista	Affiche une page du gadget Vista.
GadgetChargeParamètre	1000017220	gestion des gadgets Vista	Charge une valeur persistante dans un gadget.
GadgetFermeFlyout	1000017219	gestion des gadgets Vista	Ferme la popup de détails dans un gadget Vista.
GadgetSauveParamètre	1000017221	gestion des gadgets Vista	Sauve une valeur persistante dans un gadget.
gglAdWEcritCritèreExcluCampagne	1000017703	Google AdWords	Supprime tous les critères exclus définis pour une campagne Google AdWords et écrit les nouveaux critères exclus pour cette campagne.
gglAdWEstDiffusionOptimisée	1000017382	Google AdWords	Permet de savoir si la campagne Google AdWords spécifiée utilise le mode de diffusion optimisé.
GglAdWEstimeCampagne	1000018269	Google AdWords	Renvoie l'estimation du trafic généré par un ensemble de campagnes publicitaires Google AdWords.
GglAdWEstimeGroupeAnnonce	1000018270	Google AdWords	Renvoie l'estimation du trafic généré par un ensemble de groupes d'annonces publicitaires Google AdWords
GglAdWEstimeMotClé	1000018271	Google AdWords	Renvoie l'estimation du trafic généré par un ensemble de mots-clés Google AdWords
GglAdWListeAlerteMCC	1000017685	gestion des comptes AdWords	Récupère la liste des alertes du Centre multicompte (appelé également My Client Center) pour tous les comptes dépendant du compte AdWords courant.
GglAdWListeAnnonce	1000017644	Google AdWords	Récupère la liste des annonces d'un ensemble de groupes d'annonces.
GglAdWListeAnnonceActive	1000017643	Google AdWords	Récupère la liste des annonces actives d'un ensemble de groupes d'annonces
GglAdWListeCampagne	1000017533	Google AdWords	Liste les campagnes publicitaires Google AdWords du compte connecté
GglAdWListeCompteClient	1000017684	gestion des comptes AdWords	Récupère la liste des adresses email principales de chaque compte géré par le Centre multicompte.
GglAdWListeCritère	1000017700	Google AdWords	Liste les critères associés à un groupe d'annonces publicitaires Google AdWords. Ces critères peuvent être des critères de type "Mot-clé" ou des critè
GglAdWListeCritèreExclu	1000017701	Google AdWords	Liste les critères qui ont été exclus d'une campagne publicitaire Google AdWords.
GglAdWListeEligibilitéOptimConversion	1000017383	Google AdWords	Permet de savoir si des campagnes Google AdWords sont éligibles à l'utilisation de l'optimiseur de conversion
GglAdWListeEntreprise	1000017642	Google AdWords	Récupère la liste des entreprises correspondant aux critères demandés et présentes dans la base de données Google "Local Business Center".
GglAdWListeGroupeActif	1000018299	Google AdWords	Liste les groupes d'annonces actifs d'une campagne publicitaire Google AdWords. Les informations concernant ces groupes d'annonces sont également récu
GglAdWListeGroupeAnnonce	1000018300	Google AdWords	Récupère les données d'un ensemble de groupes d'annonces publicitaires Google AdWords.
GglAdWListeInfoCompteClient	1000017683	gestion des comptes AdWords	Récupère les caractéristiques des différents comptes du Centre multicompte (appelé également My Client Center).
GglAdWListeRequêteRapport	1000018272	Google AdWords	Récupère la liste des rapports Google AdWords effectués par le compte connecté
GglAdWListeSiteParCatégorie	1000018276	Google AdWords	Récupère des suggestions de sites par catégorie
GglAdWListeSiteParDémographie	1000018277	Google AdWords	Liste les suggestions de sites Web correspondant aux critères démographiques spécifiés. Il sera ensuite possible de positionner les annonces Google Ad
GglAdWListeSiteParSujet	1000018278	Google AdWords	Liste les suggestions de sites Web correspondant aux sujets spécifiés. Il sera ensuite possible de positionner les annonces Google AdWords sur ces sit
GglAdWListeSiteParURL	1000018279	Google AdWords	Liste les suggestions de sites Web correspondant aux URL spécifiées. Il sera ensuite possible de positionner les annonces Google AdWords sur ces sites
GglAdWListeStatistiqueAnnonce	1000017645	Google AdWords	Récupère la liste des statistiques liées à un ensemble d'annonces publicitaires Google AdWords.
GglAdWListeStatistiqueCampagne	1000017381	Google AdWords	Récupère les statistiques existantes sur un ensemble de campagnes publicitaires Google AdWords.
GglAdWListeStatistiqueCritère	1000017702	Google AdWords	Récupère les statistiques relatives un ensemble de critères liés à un groupe d'annonces publicitaires Google AdWords.
GglAdWListeStatistiqueGroupe	1000018301	Google AdWords	Récupère les statistiques existantes sur un ensemble de groupes d'annonces publicitaires Google AdWords.
GglAdWListeVidéo	1000017687	Google AdWords	Récupère la liste des vidéos disponibles sur le compte utilisateur Google AdWords.
GglAdWModifieDiffusionOptimisée	1000017384	Google AdWords	Active ou non l'utilisation de la diffusion optimisée d'une campagne publicitaire Google AdWords.
GglAdWPlanifieRequêteRapport	1000018274	Google AdWords	Planifie l'exécution d'un rapport Google AdWords par le service "Google AdWords Report Service".
GglAdWRécupèreAnnonce	1000017606	Google AdWords	Récupère les caractéristiques d'une annonce publicitaire Google AdWords.
GglAdWRécupèreCampagne	1000017379	Google AdWords	Récupère une campagne publicitaire Google AdWords à partir de son identifiant.
GglAdWRécupèreCoûtMéthode	1000017712	service "InfoService"	Récupère le coût d'exécution d'une méthode API de Google AdWords.
GglAdWRécupèreGroupeAnnonce	1000018305	Google AdWords	Récupère les données d'un groupe d'annonces publicitaires Google AdWords.
GglAdWRécupèreInfoCompte	1000017682	gestion des comptes AdWords	Récupère les informations concernant un compte AdWords.
GglAdWRécupèreMotCléDepuisSite	1000018275	Google AdWords	Récupère des suggestions de mots-clés liées au contenu d'une page Web. Cette fonction utilise le générateur de mots-clés de Google AdWords.
GglAdWRécupèreNbOpération	1000017713	service "InfoService"	Renvoie le nombre d'opérations effectuées par l'utilisateur pendant la période spécifiée.
GglAdWRécupèreNbUnité	1000017719	service "InfoService"	Renvoie le nombre d'unités API utilisées par l'utilisateur pendant la période spécifiée.
GglAdWRécupèreNbUnitéDispoMoisCourant	1000017721	service "InfoService"	Renvoie le nombre total d'unités API disponibles pour le mois courant pour l'utilisateur spécifié.
GglAdWRécupèreNbUnitéGratuiteMoisCourant	1000017711	service "InfoService"	Renvoie le nombre d'unités API gratuites disponibles sur le mois courant.
GglAdWRécupèreNbUnitéParClient	1000017720	service "InfoService"	Renvoie le nombre d'unités API utilisées par chaque client du compte multicompte Google AdWords pendant la période spécifiée.
GglAdWRécupèreNbUnitéPourMéthode	1000017714	service "InfoService"	Renvoie le nombre d'unités API utilisées lors de l'appel d'une méthode spécifique de l'API Google AdWords.
GglAdWRécupèreStatutRequêteRaport	1000018273	Google AdWords	Récupère l'état de l'édition d'un rapport Google AdWords
GglAdWRécupèreURLRapport	1000018280	Google AdWords	Renvoie l'URL permettant de télécharger le rapport Google AdWords spécifié
GglAdWRécupèreURLRapportGZip	1000018281	Google AdWords	Renvoie l'URL permettant de télécharger le rapport Google AdWords spécifié, compressé au format GZip
GglAdWRécupèreVariationMotClé	1000018282	Google AdWords	Récupère les suggestions pour les mots-clés spécifiés. Il est possible de récupérer également les synonymes. Cette fonctionnalité utilise le générateu
GglAdWRemplaceCritèreExclu	1000018302	Google AdWords	Remplace les critères exclus d'une campagne publicitaire Google AdWords. Les données précédentes sont effacées et remplacées par les nouvelles données
GglAdWSupprimeRapport	1000018283	Google AdWords	Supprime un rapport Google AdWords (sa description et si nécessaire le rapport généré). Il est possible de supprimer un rapport en attente mais il est
GglAdWValideRequêteRapport	1000018284	Google AdWords	Valide la description d'un rapport Google AdWords
GglAdWVérifieAnnonce	1000017704	Google AdWords	Vérifie la validité d'un ensemble d'annonces publicitaires Google AdWords. Cette fonction vérifie que les annonces soient conformes aux conditions d'u
GglAdWVérifieCritère	1000017699	Google AdWords	Vérifie la validité d'un ensemble de critères.
GglAdWVérifieTraficMotClé	1000018285	Google AdWords	Vérifie si les mots-clés spécifiés génèreront du trafic.
GglListeAlbum	1000017370	gestion des albums Picasa	Récupère la liste des albums "Google Picasa" disponibles pour l'utilisateur.
GglListeCommentaire	1000018389	gestion des albums Picasa	Récupère :la liste des commentaires enregistrés pour le compte client Google.la liste des commentaires associés à une photo d'un album Google Picasa.
GglListePhoto	1000018385	gestion des albums Picasa	Liste les photos des albums Google Picasa correspondant à certains critères.
GglListeTag	1000017403	gestion des albums Picasa	Récupère :la liste des tags associés à un compte client Google.la liste des tags associés à un album Google Picasa.la liste des tags associés à une ph
GglRécupèreAlbum	1000018379	gestion des albums Picasa	Récupère un album Google Picasa.
GglRemplitAlbum	1000017371	gestion des albums Picasa	Récupère dans un album Google Picasa, les données correspondantes aux options demandées.
GglRemplitPhoto	1000018380	gestion des albums Picasa	Récupère dans un album Google Picasa, les données sur les photos correspondantes aux options demandées.
HAlias_55	3044220	Hyper File compatibles	Crée un alias d'un fichier logique ou annuler tous les alias d'un fichier logique.
HAliasExterne	3044226	Hyper File compatibles	Charge la description de fichiers Hyper File contenue dans une analyse externe à l'application sans fermer l'analyse en cours.
HAssigne	3044245	Hyper File compatibles	Modifie le chemin d'accès d'un fichier.
HConnecteAccèsDistant	3044257	HFSQL	Ouvre une analyse au format HFSQL Classic via un accès distant (cette fonction est équivalente à la seconde syntaxe de la fonction HOuvreAnalyse).
HCopieEnreg_55	3044238	Hyper File compatibles	Copie l'enregistrement en cours d'un fichier dans l'enregistrement en cours d'un autre fichier ayant la même structure.
HCréeVue_55	3044239	Hyper File compatibles	Crée une vue sur un fichier Hyper File.
HCS.TailleTrame	3044364		
HDébutVerrou	3044240	Hyper File compatibles	Marque le début du verrouillage de lecture des fichiers.
HDécritClé	3044241	Hyper File compatibles	Décrit une clé simple ou composée dans un fichier temporaire au format Hyper File.
HDécritTrigger_55	3044242	Hyper File compatibles	Ajoute ou modifie un trigger sur Hyper File.
HDéjàBloque	3044243	Hyper File compatibles	Teste si la dernière opération WINDEV a pu être exécutée ou non.
HDoublon	3044237	Hyper File compatibles	Teste l'unicité d'une clé.
HFinVerrou	3044235	Hyper File compatibles	Marque la fin du verrouillage des fichiers.
HGèreAccèsDistant	3044056	HFSQL	Débranche temporairement l'accès distant pour accéder à des fichiers de données HFSQL Classic présents en local.
